PRECTOTCORR,QV2M,PS,WS50M,T2M,TS,ALLSKY_SFC_SW_DWN,WS10M,ALLSKY_SFC_UV_INDEX,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_PAR_TOT,WS2M
0,5,102.31,5.64,5.01,5.73,1.78,4.37,0.16,43.41,34.7,3.45
0.05,6.29,101.94,7.93,7.73,7.12,1.74,5.63,0.18,44.1,34.5,4.35
2.75,7.14,101.7,7.69,9.68,8.51,1.49,5.07,0.2,44.27,30.3,3.78
12.34,8.12,100.74,12.53,11.35,9.63,1.12,9.12,0.18,43.63,23.5,7.01
4,3.42,101.91,9.95,2.76,5.51,2.62,8.23,0.17,43.88,49.2,6.63
0.14,3.23,103.21,5.53,2.68,4.97,2.63,4.52,0.16,38.59,49.3,3.62
0,4.39,102.21,7.41,4.76,5.95,2.37,6,0.22,43.53,45.2,4.84
0.04,2.93,102.5,6.55,2.05,5.06,2.68,5.23,0.12,36.36,50.4,4.29
4.52,4.64,101.76,5.78,5.78,6.26,2.29,4.58,0.16,43.01,44.1,3.67
10.95,6.47,100.55,10.86,8.54,7.49,0.47,8.45,0.2,46.59,10.6,6.54
0.22,4.76,100.29,12.41,6.87,6.88,1.67,9.84,0.5,44.83,32.7,7.73
0,3.66,101.7,9.61,4.61,5.83,2.75,7.74,0.26,47.59,51.5,6.18
1.43,3.42,101.11,8.84,1.41,4.51,0.4,7.59,0.5,49.53,9.2,6.09
0.01,1.89,102.89,13.39,-5.13,2.15,2.73,11.33,0.2,47.79,50.8,9.12
0.02,1.89,103.56,5.69,-3.7,2.61,2.67,4.57,0.14,41.1,49.5,3.8
0.03,3.36,101.71,12.97,3.01,4.37,1.47,10.33,0.23,48.7,29.6,8.16
0,1.46,102.41,15.08,-8.86,0.01,2.91,12.88,0.22,47.3,53.6,10.27
0.06,1.65,101.85,7.38,-8.24,0.15,2.46,6.54,0.12,47.65,46.6,5.5
0.07,1.89,101.2,6.36,-4.13,1.38,2.88,5.45,0.07,49.95,53.3,4.56
3.76,2.69,100.22,8.07,-1.39,2.3,1.18,7,0.09,48.56,24.5,5.71
0.02,1.77,100.54,15.72,-6.81,0.46,2.72,13.21,0.5,49.41,50.9,10.48
0.03,1.65,101.95,10.58,-7.24,-0.18,2.8,8.86,0.3,51.57,52.2,7.2
0.81,2.5,102.15,4.18,-2.45,1.25,1.26,3.53,0.3,55.7,26,2.96
0.01,3.17,101.66,6.12,0.16,2.39,1.86,5.15,0.24,42.83,36.8,4.25
19.91,3.42,99.54,14.34,-0.34,2.28,1.36,12.29,0.22,49.66,27.9,9.73
0.99,2.56,100.4,9.73,-2.71,0.9,2.61,8.03,0.22,45.34,50,6.52
0,1.83,101.62,11.53,-7.13,-1.03,3.02,9.62,0.24,51.23,56.6,7.8
0,1.71,102.67,11.91,-7.6,-1.38,3.1,9.83,0.27,50.86,58.5,7.94
0,2.01,103.22,7.16,-4.52,-1.36,3.24,5.85,0.29,56.91,60.5,4.7
10.54,2.56,102.51,4.25,-2.04,-0.03,1.77,3.62,0.1,55.09,35.6,2.95
2.85,3.54,100.7,11.08,0.43,1.65,2.34,9.05,0.3,55.84,45.8,7.2
0.01,2.87,101.05,10.02,-1.38,0.58,2.87,8.2,0.38,57.61,54.8,6.59
0.07,2.14,101.65,12.3,-4.31,-0.8,3.18,10.06,0.31,52.38,58.6,8.05
1.07,2.38,101.42,4.52,-2.37,-0.4,1.99,3.68,0.36,60.26,40,2.99
0.24,2.93,101.04,3.27,-1.32,0.61,0.99,2.85,0.34,59.33,21.6,2.4
0.16,2.93,101.44,8.16,-0.85,1.17,3.43,6.74,0.09,58.44,64.4,5.47
0.02,2.75,102.25,9.66,-0.7,0.99,3.45,7.89,0.36,63.98,63.8,6.34
0.02,3.3,101.86,10.37,1.13,2.2,3.42,8.4,0.28,48.29,64.4,6.73
0,1.83,103.16,5.85,-3.45,0.61,3.54,4.84,0.23,57.42,66.4,3.96
0,3.72,102.15,8.73,1.94,2.32,2.8,6.74,0.34,58.99,53.8,5.3
0.01,4.27,101.53,5.38,3.15,3.4,3.5,4.06,0.56,68.12,67.2,3.16
1.44,4.58,100.89,8.04,3.78,3.49,2.65,5.79,0.5,70.11,53,4.45
1.35,2.01,102.36,5.91,-1.55,1.33,2.27,5.05,0.48,67.59,45.6,4.19
4.07,3.11,102.18,5.47,1.38,2.4,1.91,4.23,0.46,65.76,39.5,3.42
13.74,5.92,100.43,10.39,6.26,4.55,1.81,6.91,0.22,61.72,37.8,5.16
0,2.99,101.73,8.35,1.8,2.8,4.09,6.9,0.28,72.52,77.1,5.55
0.05,4.21,101.66,8.51,4.62,4.06,2.3,6.26,0.21,63.54,46.7,4.84
0.01,2.26,103.08,8.12,-0.34,2.12,4.09,6.82,0.62,73.19,77.3,5.53
12.63,3.54,102.41,5.38,1.65,2.7,0.67,4.41,0.57,74.37,15.5,3.55
6.26,3.66,101.33,5.38,0.76,2.21,0.69,4.55,0.51,75.5,15.3,3.75
0.03,3.17,102.12,7.71,0.74,1.66,3.81,6.17,0.38,68.33,73.5,4.96
0,3.05,102.9,5.69,1.33,1.81,4.39,4.6,0.62,77.49,83.8,3.68
0,3.66,103.3,4.75,2.59,2.72,4.41,3.58,0.26,77.85,84.4,2.75
0.01,5.07,103.1,5.59,5.23,4.14,3.98,3.59,0.48,77.78,77.6,2.5
0.22,5.55,102.47,5.95,6.24,5.45,3.66,3.97,0.52,79.99,71.8,2.93
4.25,5.43,102.37,6.03,5.43,4.63,2.01,4.29,0.21,73.22,42.8,3.2
0.64,4.7,102.9,6.12,3.93,3.83,1.7,4.77,0.79,82,36.5,3.76
0.89,5.62,102.23,6.63,5.87,5.15,2.71,4.62,0.69,79.29,55.9,3.48
7.72,4.76,101.48,10.54,6.19,5.1,2.97,7.5,0.77,84.18,60.2,5.77
0,3.66,101.96,9.88,4.3,3.87,4.87,7.13,0.57,79.7,92.6,5.5
0.05,4.09,101.42,5.12,3.47,3.57,3.04,3.68,0.41,75.59,61.2,2.83
0.04,3.91,100.61,10.47,4.08,3.75,3.38,7.91,0.45,76.2,67.5,6.17
0,3.17,100.75,11.59,2.72,3.15,5.01,9.23,0.32,81.33,95.8,7.3
0,3.48,100.78,7.35,3.48,3.66,5.07,5.38,0.19,86.69,96.8,4.09
0,4.09,100.77,7.95,5.01,4.4,4.66,5.59,0.45,90.55,90.4,4.23
0,3.85,101.81,7.95,4.63,4.23,5.18,5.63,0.66,92.02,99.4,4.29
0.27,4.39,102.01,6.48,6.4,5.53,4.75,4.32,0.7,94.36,92.9,3.18
0.4,5.86,101.38,4.56,7.59,7.03,3.43,3.25,0.42,85.47,69.4,2.37
0.59,7.26,100.6,7.69,10.26,8.3,3.65,4.63,0.58,86.88,73.3,3.2
1.25,5.55,101.53,6.91,8.55,7.49,4.08,4.66,0.59,83.95,81.4,3.45
28.78,5.49,101.64,9.53,6.44,6.01,0.42,7.37,0.84,98.54,10.5,5.77
6.06,5.55,100.48,10.67,7.07,6.54,2.73,7.93,0.29,88.54,57.4,6.09
0.08,3.36,102.37,5.88,3.65,4.55,4.37,4.58,0.5,97.05,85.4,3.61
0.05,4.39,102.49,7.51,5.54,5.34,5.48,5.72,0.48,94.95,104.8,4.47
0,5.25,102.27,9.16,7.46,6.66,5.24,6.52,0.9,100.19,101.6,5.02
11.97,6.53,101.62,8.98,9.05,7.59,2.76,5.95,0.62,96.01,58.2,4.44
17.48,4.27,101.3,11.89,3.68,4.75,0.83,9.62,0.88,97.19,19.6,7.59
0,2.26,103.52,7.22,-0.95,2.97,5.82,6.2,0.5,103.84,112.2,5.12
0.02,3.17,103.33,5.48,1.8,3.84,3.41,4.68,1,106.62,70.4,3.85
0.14,4.15,102.94,8.49,3.8,4.69,2.32,7.12,0.3,102.93,50,5.75
1.11,4.64,102.85,11.31,4.48,4.85,1.47,9.52,0.26,106.46,33.5,7.57
